candidate_record_id,label_t0,label_t1
CAN-A6ETMQZT3D,insufficient_evidence,review_not_warranted
CAN-W41T8OR50L,review_warranted,review_warranted
CAN-KMB5GTBPM9,review_not_warranted,insufficient_evidence
CAN-Z38H9W4ZGC,review_not_warranted,review_not_warranted
CAN-XY38I4LIXQ,review_not_warranted,review_not_warranted
CAN-UC0X4CF5YC,insufficient_evidence,insufficient_evidence
CAN-8MG3KHERI3,review_warranted,review_warranted
CAN-82A1AW528U,insufficient_evidence,review_not_warranted
CAN-MYFWBL13VE,insufficient_evidence,insufficient_evidence
CAN-SXC7CQRKWL,review_not_warranted,insufficient_evidence
CAN-4SMT2ZQ2JW,insufficient_evidence,review_not_warranted
CAN-F0PK9CCT7U,insufficient_evidence,review_warranted
CAN-18HFR7ZPQ5,insufficient_evidence,insufficient_evidence
CAN-TT3YS2Q6D9,review_not_warranted,insufficient_evidence
CAN-N457EOO43R,insufficient_evidence,review_warranted
CAN-JE4XWOKZY7,review_warranted,review_warranted
CAN-P2BMVSIWSO,insufficient_evidence,insufficient_evidence
CAN-WSZ2K6LRDA,review_warranted,review_warranted
CAN-LPTV3L15GI,review_warranted,review_warranted
CAN-HJSKW8DII3,review_not_warranted,insufficient_evidence
CAN-TEZC5LDGEW,review_not_warranted,review_not_warranted
CAN-BA2J2OCZ4N,insufficient_evidence,insufficient_evidence
CAN-ZMVKC63G2A,insufficient_evidence,insufficient_evidence
CAN-K7S70RXAMG,insufficient_evidence,insufficient_evidence
CAN-OAOG54YAZO,review_not_warranted,review_not_warranted
CAN-86YS89WD1X,insufficient_evidence,insufficient_evidence
CAN-LJAETPGFMO,insufficient_evidence,insufficient_evidence
CAN-KNFI1QC8WD,review_warranted,review_warranted
CAN-ZSJALHV9SZ,insufficient_evidence,insufficient_evidence
CAN-UIDCKJCDCX,insufficient_evidence,insufficient_evidence
CAN-MDT600E24L,review_warranted,review_warranted
CAN-J4H3HYSW7L,review_not_warranted,insufficient_evidence
CAN-QM71SGDM4I,review_warranted,review_warranted
CAN-SC42SBD0LB,review_not_warranted,review_not_warranted
CAN-J2Z8813Q6I,insufficient_evidence,insufficient_evidence
CAN-8WZY5EL0GS,insufficient_evidence,review_not_warranted
CAN-UC3CXNT45X,review_warranted,insufficient_evidence
CAN-OX9BJ0D2O1,insufficient_evidence,insufficient_evidence
CAN-CSA9RPF7N0,review_not_warranted,review_not_warranted
CAN-GAZ28IY33B,insufficient_evidence,insufficient_evidence
CAN-JEIC06XTOM,review_not_warranted,review_not_warranted
CAN-WAM0MZEWD7,insufficient_evidence,insufficient_evidence
CAN-90NXQQ43RV,review_not_warranted,review_not_warranted
CAN-U9XCTU7C4F,review_not_warranted,insufficient_evidence
CAN-3V8APYMFFU,review_not_warranted,review_not_warranted
CAN-4FO38FPD7B,review_not_warranted,review_not_warranted
CAN-LQTYLY754O,insufficient_evidence,review_warranted
CAN-Y1NS971FST,review_warranted,review_warranted
CAN-1WB2NA52JZ,review_not_warranted,insufficient_evidence
CAN-GPXG19LRNA,review_not_warranted,review_not_warranted
CAN-I4N8CBG88Z,review_warranted,review_warranted
CAN-RG84ONNZ7C,review_warranted,review_warranted
CAN-1NEQLC2YWG,insufficient_evidence,insufficient_evidence
CAN-4QS9RM4XLH,review_warranted,review_warranted
CAN-CJN0H4XCFS,insufficient_evidence,insufficient_evidence
CAN-P4RVWAG757,insufficient_evidence,insufficient_evidence
CAN-ERSOR4K7QJ,insufficient_evidence,insufficient_evidence
CAN-RXMWDVU7JD,review_warranted,review_warranted
CAN-7HQWF459VW,review_not_warranted,review_not_warranted
CAN-ME2Q23NS0G,review_warranted,review_warranted
CAN-W1O813CX74,insufficient_evidence,review_not_warranted
CAN-3JG44NWV2W,review_warranted,insufficient_evidence
CAN-R3FQ58SFFS,review_not_warranted,review_not_warranted
CAN-H3DK4NU2ZJ,insufficient_evidence,review_not_warranted
CAN-5D0G3VUQUU,review_warranted,insufficient_evidence
CAN-ZG2995G25E,review_not_warranted,review_not_warranted
CAN-Y746C1F209,review_warranted,review_warranted
CAN-XFRLQDC4M8,review_warranted,insufficient_evidence
CAN-QA6NLD1VOR,review_not_warranted,review_not_warranted
CAN-WMUAXBCUOI,review_not_warranted,review_not_warranted
CAN-H08YS9RB2I,review_warranted,review_warranted
CAN-V2L4EF4KSE,review_not_warranted,insufficient_evidence
CAN-4BW4AXV2DW,review_warranted,review_warranted
CAN-DMAU8U15C2,insufficient_evidence,review_not_warranted
CAN-2LQVYTP1NE,review_not_warranted,review_not_warranted
CAN-4CFU2SAM9A,insufficient_evidence,insufficient_evidence
CAN-J4XWX7ACSW,review_not_warranted,review_not_warranted
CAN-DQTR43KXGL,review_not_warranted,review_not_warranted
CAN-OKRGM086UH,insufficient_evidence,insufficient_evidence
CAN-5J9D6PMOG7,insufficient_evidence,review_not_warranted
CAN-NS2I9QFL3T,insufficient_evidence,insufficient_evidence
CAN-GYB9DQNAPG,review_not_warranted,review_not_warranted
CAN-I3PAG0MQ4S,insufficient_evidence,insufficient_evidence
CAN-P69V1TRALB,review_not_warranted,insufficient_evidence
CAN-6E9YCRS9LL,insufficient_evidence,insufficient_evidence
CAN-7YPZD0CRBH,review_warranted,review_warranted
CAN-YM0I69QM0I,insufficient_evidence,review_not_warranted
CAN-WP2EAZABSX,insufficient_evidence,insufficient_evidence
CAN-VRIHDH9JWE,insufficient_evidence,insufficient_evidence
CAN-IA8U1DVUO4,review_not_warranted,review_not_warranted
CAN-TOCVLBL1FO,review_warranted,review_warranted
CAN-YP40LZV7HG,insufficient_evidence,insufficient_evidence
CAN-XM0NTONS8I,review_not_warranted,review_not_warranted
CAN-LO4SALY31V,review_not_warranted,insufficient_evidence
CAN-UXJU0P1A4M,review_warranted,insufficient_evidence
CAN-MFQ4GY8XPH,review_not_warranted,review_not_warranted
CAN-TSX3YOZ6OH,review_not_warranted,review_not_warranted
CAN-RH7J269JWB,review_warranted,review_warranted
CAN-MFBV0FQM3G,review_not_warranted,review_not_warranted
CAN-J36EAQ6YIB,review_not_warranted,review_not_warranted
CAN-Y8KKG8V4R5,review_warranted,review_warranted
CAN-JH3BMQ4XC7,review_not_warranted,review_not_warranted
CAN-WNGDAMUN3D,review_not_warranted,insufficient_evidence
CAN-OQIKHLUC4W,insufficient_evidence,insufficient_evidence
CAN-B8OEQZRDZO,insufficient_evidence,insufficient_evidence
CAN-GS1ASP5I7M,review_warranted,review_warranted
CAN-SIIOAIPEG6,review_warranted,review_warranted
CAN-OHKKF3MKJ3,insufficient_evidence,review_warranted
CAN-BDWF22CYUA,insufficient_evidence,insufficient_evidence
CAN-JUDHP15RCW,review_not_warranted,review_not_warranted
CAN-3H2ZQ20HYA,insufficient_evidence,insufficient_evidence
CAN-9Y4E8DVX0U,insufficient_evidence,review_warranted
CAN-56NGPDUGKO,review_not_warranted,insufficient_evidence
CAN-HNHZKKFNLR,insufficient_evidence,insufficient_evidence
CAN-3L9PECKRSW,review_warranted,review_warranted
CAN-30WX81N4ES,review_warranted,review_warranted
CAN-UQQIYRW0PD,review_warranted,review_warranted
CAN-V9M5ANAVAQ,review_not_warranted,review_not_warranted
CAN-ZT3OGP0JXS,review_not_warranted,review_not_warranted
CAN-VHIJVPARK8,review_warranted,review_warranted
CAN-FVPXP9IPUU,review_not_warranted,review_not_warranted
CAN-6EP6GXXTK9,review_not_warranted,review_not_warranted
CAN-JR75FSAO9V,review_not_warranted,review_not_warranted
CAN-07K7VDEEMK,review_warranted,review_warranted
CAN-X83JEQTGZH,review_warranted,review_warranted
CAN-CM7DYFBA7J,insufficient_evidence,insufficient_evidence
CAN-5N3RUX7YHN,review_warranted,review_warranted
CAN-R18R0Y2KT1,review_warranted,insufficient_evidence
CAN-MKP2V46UCL,review_warranted,review_warranted
CAN-AUHE529DEL,review_not_warranted,insufficient_evidence
CAN-RB7I4QYEUI,insufficient_evidence,insufficient_evidence
CAN-0R2G3NUIKR,review_warranted,review_warranted
CAN-FTE9U57RLP,review_not_warranted,review_not_warranted
CAN-QUQOLS2HT8,review_warranted,review_warranted
CAN-J9DW7V0B0M,insufficient_evidence,review_not_warranted
CAN-1U7KYCHT04,insufficient_evidence,insufficient_evidence
CAN-8IVXRT38AV,review_warranted,review_warranted
CAN-8S6ARU7BKP,review_warranted,review_warranted
CAN-HA0BA87B8L,insufficient_evidence,review_warranted
CAN-0XENT8TOVT,review_not_warranted,review_not_warranted
CAN-W10A9RCR81,insufficient_evidence,insufficient_evidence
CAN-DRJR4QD6PK,review_not_warranted,review_not_warranted
CAN-L55BKTF9S0,review_not_warranted,review_not_warranted
CAN-D9Y0VJJ6VW,review_warranted,review_warranted
CAN-1ZS1BZI6T1,insufficient_evidence,insufficient_evidence
CAN-0BEG9SW2FJ,review_not_warranted,review_not_warranted
CAN-R59D8GNWOE,review_warranted,review_warranted
CAN-RSAGRRSRCU,insufficient_evidence,insufficient_evidence
CAN-TLVR8Y2L8B,review_warranted,insufficient_evidence
CAN-KBNRY7AM6A,review_warranted,review_warranted
CAN-GP3R1BKFVB,review_not_warranted,review_not_warranted
CAN-ZUC41D21E3,review_not_warranted,review_not_warranted
CAN-AX8X8VO9JH,insufficient_evidence,insufficient_evidence
CAN-ADOF3P33HR,insufficient_evidence,review_not_warranted
CAN-JAC9C5ZY2J,review_not_warranted,review_not_warranted
CAN-5EZS1T1ELJ,insufficient_evidence,review_warranted
CAN-16LL783QTG,review_not_warranted,review_not_warranted
CAN-VIYZ36BREN,insufficient_evidence,insufficient_evidence
CAN-Q0VG7NCDFO,review_warranted,review_warranted
CAN-LQYOAEONVO,insufficient_evidence,insufficient_evidence
CAN-Q7RFRQTAQZ,insufficient_evidence,insufficient_evidence
CAN-LNUVVT5CZH,review_warranted,review_warranted
CAN-0ND8K10G3Q,review_not_warranted,review_not_warranted
CAN-2V0D61OSOH,review_not_warranted,review_not_warranted
CAN-0EEV2PAF0Q,review_not_warranted,review_not_warranted
CAN-OKX1I6CA68,insufficient_evidence,insufficient_evidence
CAN-58JRRKXCV8,insufficient_evidence,insufficient_evidence
CAN-Q1G8222TVV,review_warranted,review_not_warranted
CAN-JMSVBKK42K,insufficient_evidence,insufficient_evidence
CAN-O8J5XQ1QHK,review_warranted,review_warranted
CAN-6NHOI7HD4X,review_not_warranted,insufficient_evidence
CAN-Z2FMDPQZ6U,review_not_warranted,review_not_warranted
CAN-YPY46FBMCC,insufficient_evidence,review_warranted
CAN-M6I6ONFLH6,insufficient_evidence,review_warranted
CAN-MD6HSPZNPH,insufficient_evidence,review_not_warranted
CAN-BG2JQTKE9R,insufficient_evidence,insufficient_evidence
CAN-NZ60ITUAMZ,insufficient_evidence,review_warranted
CAN-3E88BL7X8N,review_warranted,review_warranted
CAN-WRYT3JA62H,insufficient_evidence,insufficient_evidence
CAN-UC1GUSFB8Y,insufficient_evidence,insufficient_evidence
CAN-KAEH77AZL2,review_not_warranted,review_not_warranted
CAN-NJIWES3CMC,review_not_warranted,review_not_warranted
CAN-OV2OP0BPC2,review_warranted,insufficient_evidence
CAN-8BR6ZCR6C5,review_not_warranted,review_not_warranted
CAN-M5PX3JZR1B,review_warranted,review_warranted
CAN-WQQAVM6KJ0,insufficient_evidence,insufficient_evidence
CAN-GXTMUF9MJ2,review_not_warranted,review_not_warranted
CAN-X66G0DQZY1,review_not_warranted,review_not_warranted
CAN-8G6HTDW3TS,review_not_warranted,review_not_warranted
CAN-IX71UNKLCC,review_not_warranted,review_not_warranted
CAN-BQ2E1CA8JA,review_not_warranted,review_not_warranted
CAN-C6JQXV1H28,review_not_warranted,review_not_warranted
CAN-7Z4I6X76ZY,review_not_warranted,insufficient_evidence
CAN-4DQEX1DFLP,review_not_warranted,review_not_warranted
CAN-GTRZMV90GK,insufficient_evidence,insufficient_evidence
CAN-28HOG1H1PI,review_warranted,review_warranted
CAN-8467CAI41V,review_warranted,review_warranted
CAN-A8RUHP98S6,review_not_warranted,insufficient_evidence
CAN-6FIO389AU7,review_warranted,review_warranted
CAN-GRA38D14NY,review_warranted,review_warranted
CAN-TK9TB1S19Y,review_warranted,review_warranted
CAN-6045ADGW9W,review_not_warranted,review_not_warranted
CAN-YVRMB50LXO,review_not_warranted,review_not_warranted
CAN-VJ1ATXQ4KR,review_not_warranted,review_not_warranted
CAN-693NHGTCCO,review_warranted,review_warranted
CAN-QZE5QAIJ2T,review_warranted,review_warranted
CAN-VB1685ICUZ,review_not_warranted,review_not_warranted
CAN-VNPISGXD4Q,review_warranted,insufficient_evidence
CAN-E2FZJZ8WLH,insufficient_evidence,review_not_warranted
CAN-LEJZ8XH8YE,insufficient_evidence,insufficient_evidence
CAN-SHRRQNVCIC,review_not_warranted,review_not_warranted
CAN-8LF2PPDABK,insufficient_evidence,insufficient_evidence
CAN-ZWF0AYKB18,review_warranted,review_warranted
CAN-HC7VWRKBC4,insufficient_evidence,insufficient_evidence
CAN-6O36VBSAI9,review_warranted,insufficient_evidence
CAN-4EK13UOVMH,review_warranted,review_warranted
CAN-4JML2H5550,insufficient_evidence,review_not_warranted
CAN-W803WTVEJV,review_not_warranted,review_not_warranted
CAN-1JQKMVCC0E,review_warranted,review_warranted
CAN-PFB5DKD37Z,review_warranted,review_warranted
CAN-JS0TD7RAVV,review_warranted,review_warranted
CAN-6N8NUY6QNZ,review_not_warranted,review_not_warranted
CAN-3W1WRGSSBR,insufficient_evidence,insufficient_evidence
CAN-RLFHYDAOTO,review_not_warranted,insufficient_evidence
CAN-USBPGXP3DA,insufficient_evidence,insufficient_evidence
CAN-F640D3DCIR,insufficient_evidence,review_warranted
CAN-J538MFH2RZ,review_warranted,review_warranted
CAN-T3BSOKDD2P,review_warranted,review_warranted
CAN-1UXZVZSG4A,review_not_warranted,review_not_warranted
CAN-QU6MD5TN0F,insufficient_evidence,insufficient_evidence
CAN-H2TOKOI56S,review_not_warranted,insufficient_evidence
CAN-ARNXXD7017,review_warranted,review_warranted
CAN-BT0Y88Z5VY,review_warranted,review_warranted
CAN-20LP6R01W2,review_warranted,review_warranted
CAN-GT29QK48ZR,review_warranted,review_warranted
CAN-JTU00IS95H,review_warranted,review_warranted
CAN-KLQH9G2XAA,review_not_warranted,review_not_warranted
CAN-1X36MKKDTS,review_not_warranted,review_not_warranted
CAN-DANXMJUTSN,insufficient_evidence,insufficient_evidence
CAN-L16ZDGA6KP,review_warranted,review_warranted
CAN-ICKK4E813F,review_not_warranted,review_not_warranted
CAN-BQA0QBKTW1,insufficient_evidence,insufficient_evidence
CAN-PBRR29HATJ,review_not_warranted,review_not_warranted
CAN-RWVLQ6JSLV,insufficient_evidence,review_not_warranted
CAN-D0A5SDWYO9,review_not_warranted,review_not_warranted
CAN-LAAZKJS0G8,insufficient_evidence,insufficient_evidence
CAN-9UF00BV0SU,insufficient_evidence,review_not_warranted
CAN-P049Y8KP5Z,review_warranted,review_warranted
CAN-B0FYO3ENSX,review_warranted,review_warranted
CAN-2MPIJSE7PT,review_warranted,review_warranted
CAN-6ULFMKJ73X,review_warranted,review_warranted
