artifact,column,role,dtype,description,source_url,selection_group,selection_reason,model_use
features_t0/features_t1,days_past_60_day_grace_proxy,model_candidate_feature,int64,Whole days beyond day 60 after the DE address-evidence proxy date; zero while within the proxy window or when no proxy exists.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req,grace_window,Encodes the defensible 60-day review window without asserting a violation.,compact_model_predictor
features_t0/features_t1,post_60d_oos_vehicle_signal_count,model_candidate_feature,int64,OOS title-domain signals occurring more than 60 days after the Delaware address-evidence proxy date.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment,grace_window,Post-window OOS title-domain evidence.,compact_model_predictor
features_t0/features_t1,post_60d_active_oos_credential_signal_count,model_candidate_feature,int64,Explicitly active OOS credential events occurring more than 60 days after the DE address-evidence proxy date; credential type is unknown.,https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req,grace_window,"Retained for review, but excluded from modeling because only 8 of 300 development candidates have a nonzero value.",audit_only_review_signal
features_t0/features_t1,post_60d_combined_title_active_credential_conflict_present,model_candidate_feature,int64,Both a post-window OOS title-domain signal and an explicitly active post-window OOS credential signal are present.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req,grace_window,"Retained for review, but excluded from modeling because only 4 of 300 development candidates have a nonzero value.",audit_only_review_signal
features_t0/features_t1,new_meaningful_oos_title_signal_post_60d_present,model_candidate_feature,int64,A meaningful OOS title event occurs after the proxy 60-day window.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment,event_quality,"Retained for review, but excluded from modeling because it is constant across the 300 development candidates.",audit_only_review_signal
features_t0/features_t1,post_60d_prior_state_persistence_any_present,model_candidate_feature,int64,At least one post-window OOS title or explicitly active credential record matches the prior OOS address-state proxy.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req,migration,Old-home-state persistence after the proxy window.,compact_model_predictor
features_t1_delta,candidate_record_id,metadata,object,Stable candidate identifier; metadata only and never a model predictor.,,metadata,Stable join key.,metadata
features_t1_delta,new_t1_record_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,,update_volume,Total new linked evidence in the update stream.,compact_model_predictor
features_t1_delta,new_t1_oos_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,,update_jurisdiction,New OOS evidence.,compact_model_predictor
features_t1_delta,new_t1_de_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,,update_jurisdiction,New DE evidence.,compact_model_predictor
features_t1_delta,new_t1_state_missing_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,,update_quality,New evidence with no usable state.,compact_model_predictor
features_t1_delta,new_t1_source_domain_diversity,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,,update_cross_source,Breadth of new evidence domains.,compact_model_predictor
features_t1_delta,new_t1_new_record_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,,update_action,New-record actions are distinguished from corrections and status updates.,compact_model_predictor
features_t1_delta,new_t1_record_correction_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,,update_action,Corrections may reverse or weaken earlier evidence.,compact_model_predictor
features_t1_delta,new_t1_status_update_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,,update_action,Status changes are distinct from new records.,compact_model_predictor
features_t1_delta,newly_effective_t0_record_count,model_candidate_feature,int64,Newly effective t0 record count.,,update_timing,Previously supplied T0 evidence that becomes effective by T1.,compact_model_predictor
features_t1_delta,delta_days_since_latest_oos,model_candidate_feature,float64,T1 value minus T0 value for days_since_latest_oos.,,update_recency,Change in OOS recency.,compact_model_predictor
features_t1_delta,delta_days_since_latest_de,model_candidate_feature,float64,T1 value minus T0 value for days_since_latest_de.,,update_recency,Change in DE recency.,compact_model_predictor
features_t1_delta,delta_link_confidence_mean,model_candidate_feature,float64,T1 value minus T0 value for link_confidence_mean.,,update_quality,Change in average linkage confidence after updates.,compact_model_predictor
features_t1_delta,delta_oos_decay_90d,model_candidate_feature,float64,T1 value minus T0 value for oos_decay_90d.,,update_recency,Change in short-horizon recency-weighted OOS evidence.,compact_model_predictor
features_t1_delta,delta_de_decay_90d,model_candidate_feature,float64,T1 value minus T0 value for de_decay_90d.,,update_recency,Change in short-horizon recency-weighted DE evidence.,compact_model_predictor
features_t1_delta,delta_active_address_oos_count,model_candidate_feature,int64,T1 value minus T0 value for active_address_oos_count.,,update_current_evidence,Change in active OOS address evidence.,compact_model_predictor
features_t1_delta,delta_recent_oos_independent_source_count_90d,model_candidate_feature,int64,T1 value minus T0 value for recent_oos_independent_source_count_90d.,,update_cross_source,Change in recent OOS source corroboration.,compact_model_predictor
features_t1_delta,delta_recent_de_independent_source_count_90d,model_candidate_feature,int64,T1 value minus T0 value for recent_de_independent_source_count_90d.,,update_cross_source,Change in recent DE source corroboration.,compact_model_predictor
features_t1_delta,delta_active_address_de_count,model_candidate_feature,int64,T1 value minus T0 value for active_address_de_count.,,update_current_evidence,Change in active DE address evidence.,compact_model_predictor
features_t1_delta,delta_post_60d_oos_vehicle_signal_count,model_candidate_feature,int64,T1 value minus T0 value for post_60d_oos_vehicle_signal_count.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment,update_grace_window,Change in post-window OOS title-domain evidence.,compact_model_predictor
features_t1_delta,delta_post_60d_active_oos_credential_signal_count,model_candidate_feature,int64,T1 value minus T0 value for post_60d_active_oos_credential_signal_count.,https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req,update_grace_window,"Retained for review, but excluded from modeling because only 3 of 300 development candidates have a nonzero change.",audit_only_review_signal
features_t1_delta,delta_post_60d_combined_title_active_credential_conflict_present,model_candidate_feature,int64,T1 value minus T0 value for post_60d_combined_title_active_credential_conflict_present.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req,update_grace_window,"Retained for review, but excluded from modeling because only 3 of 300 development candidates have a nonzero change.",audit_only_review_signal
features_t1_delta,delta_post_60d_prior_state_persistence_any_present,model_candidate_feature,int64,T1 value minus T0 value for post_60d_prior_state_persistence_any_present.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req,update_migration,Change in old-home-state persistence.,compact_model_predictor
features_t1_delta,delta_new_meaningful_oos_title_signal_post_60d_present,model_candidate_feature,int64,T1 value minus T0 value for new_meaningful_oos_title_signal_post_60d_present.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment,update_event_quality,"Retained for review, but excluded from modeling because only 6 of 300 development candidates have a nonzero change.",audit_only_review_signal
features_t1_delta,delta_t1_update_observation_lag_mean_days,model_candidate_feature,float64,T1 value minus T0 value for t1_update_observation_lag_mean_days.,,update_timing,Mean effective-to-observed reporting lag introduced at T1.,compact_model_predictor
features_t1_delta,delta_t1_late_arriving_update_count_over_30d,model_candidate_feature,int64,T1 value minus T0 value for t1_late_arriving_update_count_over_30d.,,update_timing,Count of updates arriving more than 30 days after their effective date.,compact_model_predictor
